"","X","hitid","assignmentaccepttime","Answer.Qasmm1","Answer.Qasmm2","Answer.acrossLabel","Answer.cond","Answer.Qasm2","Answer.Qasm1","Answer.withinLabel","Answer.label","Answer.Qwsmm1","Answer.Qwsmm2","Answer.sample","Answer.acrossTarget","Answer.mainNum","Answer.acrossOther","Answer.click1","Answer.click2","Answer.Qwsm1","Answer.question1","Answer.Qwsm2","Answer.question2","Answer.withinTarget","Answer.dist","Answer.withinOther","Answer.Qacheck","Answer.Qwcheck","runNum","workerids"
"1",1,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:26:25 PDT 2012",0,0,"""blicket""","""1""",1,1,"""tupa""",1,0,0,0,"""d""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""b""",0,0,2,"1"
"2",2,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:29:22 PDT 2012",0,1,"""fep""","""2""",1,1,"""tupa""",1,0,0,1,"""c""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""d""",0,0,2,"2"
"3",3,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:32:30 PDT 2012",0,0,"""tupa""","""1""",1,1,"""blicket""",1,0,0,0,"""a""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""b""",0,0,2,"3"
"4",4,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:34:42 PDT 2012",0,0,"""wug""","""2""",0,0,"""blicket""",1,0,0,1,"""b""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""d""",0,0,2,"4"
"5",5,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:36:35 PDT 2012",0,0,"""blicket""","""1""",1,0,"""wug""",1,0,0,0,"""b""",13,"""c""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""a""",0,0,2,"5"
"6",6,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:40:40 PDT 2012",0,0,"""fep""","""2""",1,1,"""wug""",1,0,0,1,"""d""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""c""",0,0,2,"6"
"7",7,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:46:25 PDT 2012",0,0,"""tupa""","""1""",1,1,"""blicket""",1,0,0,0,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,2,"7"
"8",8,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:48:53 PDT 2012",0,0,"""wug""","""1""",1,0,"""fep""",1,0,0,0,"""c""",13,"""a""","""correct""","""correct""",0,TRUE,1,TRUE,"""b""","[]","""d""",0,0,2,"8"
"9",9,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:49:45 PDT 2012",1,1,"""tupa""","""2""",1,1,"""wug""",1,0,0,1,"""a""",13,"""c""","""correct""","""false""",0,TRUE,1,TRUE,"""b""","[]","""d""",0,0,2,"9"
"10",10,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 22:56:21 PDT 2012",1,0,"""fep""","""1""",1,1,"""wug""",1,0,0,0,"""d""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""a""",0,0,2,"10"
"11",11,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 23:27:39 PDT 2012",1,1,"""tupa""","""2""",1,1,"""fep""",1,1,1,1,"""d""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""c""",0,0,2,"11"
"12",12,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Tue Apr 10 23:59:08 PDT 2012",0,0,"""tupa""","""1""",1,1,"""wug""",1,0,0,0,"""c""",13,"""a""","""correct""","""correct""",0,TRUE,1,TRUE,"""b""","[]","""d""",0,0,2,"12"
"13",13,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 00:08:17 PDT 2012",0,0,"""tupa""","""2""",0,0,"""wug""",1,0,0,1,"""c""",13,"""a""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""b""",0,0,2,"13"
"14",14,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 00:11:35 PDT 2012",1,1,"""wug""","""1""",1,1,"""tupa""",1,1,1,0,"""d""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""b""",0,0,2,"14"
"15",15,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 00:24:54 PDT 2012",1,1,"""fep""","""2""",1,1,"""blicket""",1,0,0,1,"""c""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""a""",0,0,2,"15"
"16",16,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 00:47:01 PDT 2012",1,1,"""fep""","""1""",1,0,"""blicket""",1,0,0,0,"""b""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""a""",0,0,2,"16"
"17",17,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 02:54:01 PDT 2012",0,0,"""wug""","""2""",1,0,"""blicket""",1,0,0,1,"""b""",13,"""d""","""correct""","""correct""",1,TRUE,0,TRUE,"""a""","[]","""c""",0,0,2,"17"
"18",18,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 03:04:47 PDT 2012",0,0,"""blicket""","""1""",1,1,"""tupa""",1,0,0,0,"""b""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""c""",0,0,2,"18"
"19",19,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 04:26:13 PDT 2012",0,0,"""tupa""","""2""",0,0,"""wug""",1,0,0,1,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,2,"19"
"20",20,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 05:06:48 PDT 2012",1,1,"""fep""","""1""",1,1,"""blicket""",1,1,1,0,"""c""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""b""",0,0,2,"20"
"21",21,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 05:18:18 PDT 2012",1,1,"""blicket""","""2""",1,1,"""wug""",1,0,0,1,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""d""",0,0,2,"21"
"22",22,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 05:35:27 PDT 2012",0,1,"""tupa""","""1""",1,1,"""wug""",1,0,0,0,"""d""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""b""",0,0,2,"22"
"23",23,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 05:37:32 PDT 2012",0,0,"""blicket""","""2""",0,1,"""wug""",1,0,0,1,"""d""",13,"""c""","""correct""","""correct""",0,TRUE,0,TRUE,"""b""","[]","""a""",0,0,2,"23"
"24",24,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 05:43:41 PDT 2012",0,0,"""fep""","""1""",0,1,"""wug""",1,0,0,0,"""b""",13,"""c""","""correct""","""correct""",1,TRUE,0,TRUE,"""a""","[]","""d""",0,0,2,"24"
"25",25,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 05:48:40 PDT 2012",0,0,"""tupa""","""2""",0,1,"""wug""",1,0,0,1,"""d""",13,"""a""","""false""","""false""",0,TRUE,0,TRUE,"""b""","[]","""c""",0,0,2,"25"
"26",26,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 06:31:13 PDT 2012",1,0,"""blicket""","""1""",1,1,"""wug""",1,0,0,0,"""a""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""b""",1,1,2,"26"
"27",27,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 06:41:04 PDT 2012",0,0,"""fep""","""2""",0,1,"""blicket""",1,0,0,1,"""d""",13,"""c""","""correct""","""correct""",1,TRUE,0,TRUE,"""a""","[]","""b""",0,0,2,"27"
"28",28,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 06:42:03 PDT 2012",1,1,"""blicket""","""2""",1,1,"""tupa""",1,1,0,1,"""a""",13,"""b""","""""","""""",1,TRUE,1,TRUE,"""c""","[]","""d""",0,1,2,"28"
"29",29,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 06:49:10 PDT 2012",0,0,"""blicket""","""1""",1,1,"""wug""",1,0,0,0,"""c""",13,"""b""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""a""",0,0,2,"29"
"30",30,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 07:14:58 PDT 2012",0,0,"""blicket""","""1""",1,0,"""tupa""",1,0,0,0,"""c""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""b""",0,0,2,"30"
"31",31,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 07:16:03 PDT 2012",1,1,"""wug""","""1""",1,1,"""tupa""",1,1,1,0,"""c""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""d""",0,0,2,"31"
"32",32,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 07:23:30 PDT 2012",1,0,"""blicket""","""2""",1,1,"""tupa""",1,1,0,1,"""d""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""a""",0,0,2,"32"
"33",33,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 07:32:08 PDT 2012",0,0,"""fep""","""2""",1,1,"""tupa""",1,0,0,1,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,2,"33"
"34",34,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 07:34:03 PDT 2012",1,0,"""wug""","""1""",0,0,"""tupa""",1,0,0,0,"""d""",13,"""a""","""correct""","""correct""",0,TRUE,1,TRUE,"""c""","[]","""b""",0,0,2,"34"
"35",35,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 07:38:59 PDT 2012",0,0,"""tupa""","""2""",1,1,"""blicket""",1,0,0,1,"""a""",13,"""c""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""b""",0,0,2,"35"
"36",36,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 07:43:29 PDT 2012",0,0,"""tupa""","""1""",1,1,"""blicket""",1,0,0,0,"""a""",13,"""d""","""correct""","""correct""",0,TRUE,1,TRUE,"""c""","[]","""b""",0,0,2,"36"
"37",37,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 07:45:06 PDT 2012",0,0,"""tupa""","""1""",1,1,"""blicket""",1,0,0,0,"""c""",13,"""a""","""correct""","""correct""",0,TRUE,0,TRUE,"""d""","[]","""b""",0,0,2,"37"
"38",38,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 07:49:17 PDT 2012",1,0,"""tupa""","""2""",1,1,"""wug""",1,0,0,1,"""d""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""a""",0,0,2,"38"
"39",39,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 08:22:54 PDT 2012",1,1,"""fep""","""2""",1,1,"""wug""",1,1,1,1,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""c""",0,0,2,"39"
"40",40,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 08:54:31 PDT 2012",1,1,"""tupa""","""1""",1,1,"""wug""",1,0,0,0,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""b""",0,0,2,"40"
"41",41,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 09:18:02 PDT 2012",0,0,"""wug""","""2""",1,1,"""fep""",1,0,0,1,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,2,"41"
"42",42,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 09:18:22 PDT 2012",1,1,"""blicket""","""2""",1,1,"""wug""",1,0,0,1,"""d""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""c""",0,0,2,"42"
"43",43,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 09:25:39 PDT 2012",0,0,"""wug""","""1""",1,1,"""blicket""",1,0,0,0,"""c""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""a""",0,0,2,"43"
"44",44,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 09:44:34 PDT 2012",0,1,"""wug""","""1""",1,1,"""blicket""",1,0,0,0,"""d""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""c""",0,0,2,"44"
"45",45,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 10:20:16 PDT 2012",1,1,"""tupa""","""2""",1,1,"""blicket""",1,0,0,1,"""c""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""d""",0,0,2,"45"
"46",46,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 10:41:43 PDT 2012",1,1,"""wug""","""1""",1,1,"""blicket""",1,0,0,0,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""c""",0,0,2,"46"
"47",47,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 10:53:31 PDT 2012",0,0,"""fep""","""1""",1,1,"""tupa""",1,0,0,0,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,2,"47"
"48",48,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 10:53:54 PDT 2012",0,0,"""tupa""","""1""",1,1,"""blicket""",1,0,0,0,"""d""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,2,"48"
"49",49,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 11:31:38 PDT 2012",1,1,"""wug""","""2""",1,1,"""blicket""",1,0,0,1,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""c""",0,0,2,"49"
"50",50,"26ZIT3HVWAVK1Z8NFVT1D2ZAMUMEMN","Wed Apr 11 11:30:23 PDT 2012",1,0,"""fep""","""2""",1,1,"""tupa""",1,0,0,1,"""d""",13,"""a""","""false""","""false""",0,TRUE,0,TRUE,"""b""","[]","""c""",0,0,2,"50"
"51",51,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 14:52:11 PDT 2012",1,1,"""fep""","""1""",1,1,"""tupa""",1,0,0,0,"""c""",13,"""b""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""a""",0,0,3,"51"
"52",52,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 14:52:58 PDT 2012",1,1,"""tupa""","""1""",1,1,"""fep""",1,0,0,0,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""d""",0,0,3,"52"
"53",53,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 14:53:11 PDT 2012",1,1,"""tupa""","""1""",1,1,"""fep""",1,1,1,0,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,3,"53"
"54",54,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 14:53:47 PDT 2012",1,1,"""blicket""","""1""",1,1,"""wug""",1,1,1,0,"""a""",13,"""d""","""correct""","""correct""",1,TRUE,0,TRUE,"""c""","[]","""b""",0,0,3,"54"
"55",55,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 14:54:24 PDT 2012",1,1,"""tupa""","""2""",1,1,"""wug""",1,0,0,1,"""b""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""a""",0,0,3,"55"
"56",56,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 15:10:56 PDT 2012",0,0,"""fep""","""2""",1,0,"""wug""",1,0,0,1,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""c""",0,0,3,"56"
"57",57,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 15:12:48 PDT 2012",1,1,"""wug""","""2""",1,1,"""blicket""",1,1,1,1,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,3,"57"
"58",58,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 15:16:32 PDT 2012",1,1,"""fep""","""2""",1,1,"""wug""",1,1,1,1,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""b""",0,0,3,"58"
"59",59,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 15:11:58 PDT 2012",0,0,"""fep""","""2""",1,1,"""tupa""",1,0,0,1,"""c""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""d""",0,0,3,"59"
"60",60,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 15:20:50 PDT 2012",1,0,"""fep""","""1""",1,1,"""wug""",1,0,0,0,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""d""",0,0,3,"38"
"61",61,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 15:24:40 PDT 2012",0,0,"""blicket""","""1""",0,0,"""tupa""",1,0,0,0,"""b""",13,"""c""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""a""",0,0,3,"60"
"62",62,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 15:27:28 PDT 2012",0,0,"""tupa""","""2""",1,1,"""blicket""",1,0,0,1,"""b""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""a""",0,0,3,"61"
"63",63,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 15:30:16 PDT 2012",0,0,"""wug""","""1""",0,0,"""fep""",1,0,0,0,"""d""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,3,"62"
"64",64,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 15:33:15 PDT 2012",0,0,"""wug""","""2""",1,1,"""tupa""",1,1,0,1,"""d""",13,"""c""","""correct""","""correct""",1,TRUE,0,TRUE,"""a""","[]","""b""",0,0,3,"63"
"65",65,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 15:38:36 PDT 2012",0,0,"""tupa""","""1""",1,0,"""fep""",1,0,0,0,"""b""",13,"""c""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""a""",0,0,3,"64"
"66",66,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 15:44:09 PDT 2012",1,1,"""blicket""","""2""",1,1,"""fep""",1,1,1,1,"""a""",13,"""d""","""false""","""false""",1,TRUE,1,TRUE,"""c""","[]","""b""",0,1,3,"65"
"67",67,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 16:09:05 PDT 2012",0,0,"""fep""","""1""",1,1,"""wug""",1,0,0,0,"""a""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""b""",0,0,3,"66"
"68",68,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 16:09:18 PDT 2012",0,0,"""fep""","""1""",0,1,"""blicket""",1,0,0,0,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""c""",0,0,3,"67"
"69",69,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 16:14:46 PDT 2012",1,1,"""fep""","""2""",1,1,"""tupa""",1,1,1,1,"""b""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""c""",0,0,3,"68"
"70",70,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 16:17:28 PDT 2012",1,1,"""tupa""","""2""",1,1,"""blicket""",1,1,1,1,"""c""",13,"""b""","""correct""","""false""",1,TRUE,1,TRUE,"""a""","[]","""d""",0,0,3,"69"
"71",71,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 16:20:46 PDT 2012",0,0,"""tupa""","""1""",1,0,"""fep""",1,0,0,0,"""d""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""a""",0,0,3,"70"
"72",72,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 16:25:17 PDT 2012",0,0,"""wug""","""2""",1,1,"""fep""",1,0,0,1,"""a""",13,"""d""","""correct""","""correct""",0,TRUE,1,TRUE,"""b""","[]","""c""",0,0,3,"71"
"73",73,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 16:46:38 PDT 2012",0,0,"""blicket""","""1""",0,0,"""fep""",1,0,0,0,"""b""",13,"""c""","""correct""","""correct""",0,TRUE,0,TRUE,"""a""","[]","""d""",0,0,3,"72"
"74",74,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 17:08:57 PDT 2012",0,1,"""fep""","""2""",1,1,"""tupa""",1,0,1,1,"""b""",13,"""a""","""correct""","""false""",1,TRUE,1,TRUE,"""d""","[]","""c""",0,0,3,"73"
"75",75,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 17:27:56 PDT 2012",0,0,"""tupa""","""1""",1,0,"""fep""",1,0,0,0,"""c""",13,"""d""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""b""",0,0,3,"74"
"76",76,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 17:27:49 PDT 2012",1,1,"""tupa""","""1""",1,1,"""blicket""",1,1,1,0,"""d""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""a""","[]","""b""",0,0,3,"75"
"77",77,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 17:57:33 PDT 2012",1,1,"""fep""","""2""",1,1,"""wug""",1,0,0,1,"""d""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""b""",0,0,3,"76"
"78",78,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 18:01:53 PDT 2012",0,0,"""wug""","""2""",1,1,"""fep""",1,0,0,1,"""b""",13,"""d""","""false""","""false""",1,TRUE,1,TRUE,"""a""","[]","""c""",0,0,3,"77"
"79",79,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 18:08:24 PDT 2012",1,0,"""fep""","""1""",1,1,"""blicket""",1,0,0,0,"""a""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""b""","[]","""d""",0,0,3,"78"
"80",80,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 18:08:23 PDT 2012",1,1,"""wug""","""1""",1,1,"""tupa""",1,0,0,0,"""a""",13,"""b""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""c""",0,0,3,"79"
"81",81,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 18:31:22 PDT 2012",0,0,"""wug""","""2""",1,1,"""blicket""",1,0,0,1,"""b""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""c""",0,0,3,"80"
"82",82,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 18:37:11 PDT 2012",0,0,"""wug""","""2""",1,1,"""tupa""",1,0,0,1,"""c""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""b""",0,0,3,"81"
"83",83,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 18:44:57 PDT 2012",1,1,"""fep""","""1""",1,1,"""blicket""",1,0,0,0,"""b""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""d""",0,0,3,"82"
"84",84,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 18:53:43 PDT 2012",1,0,"""blicket""","""2""",1,1,"""wug""",1,0,0,1,"""a""",13,"""c""","""correct""","""correct""",1,TRUE,1,TRUE,"""d""","[]","""b""",0,0,3,"83"
"85",85,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 19:19:10 PDT 2012",1,1,"""tupa""","""1""",1,1,"""fep""",1,0,0,0,"""b""",13,"""c""","""correct""","""correct""",1,TRUE,0,TRUE,"""d""","[]","""a""",0,0,3,"84"
"86",86,"2LWGDHDM25L812TZSB8E56OFH07OEU","Thu Apr 12 19:25:33 PDT 2012",1,1,"""wug""","""2""",1,1,"""blicket""",1,1,1,1,"""d""",13,"""a""","""correct""","""correct""",1,TRUE,1,TRUE,"""c""","[]","""b""",0,0,3,"85"
